영역 ,하위역량,하위역량지표,역량순번,하위요소,전체순번,문항(보정),응답예시,비고
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",4,관계성,76,"나는 내가 속한 공동체의 구성원으로서 지켜야 할 사회적 윤리와 규범을 중요하게 
인식한다.",5,제외
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",5,유대감,77,나는 사회를 위해서 나의 재능을 기부할 것이다.,3,선택
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",6,관계성,78,나는 개인의 삶만큼 사회적 관계에 의한 공동체로서의 삶과 협업도 중요하게 인식한다.,3,선택
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",7,유대감,79,나는 지역사회의 중요한 문제와 동향에 관심이 있다.,3,선택
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",8,유대감,80,나는 내가 속한 공동체의 사람들과 강한 유대감을 느낀다.,5,선택
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",1,책임성,81,나는 사회적 상황이 요구하는 윤리규범을 잘 인식하고 적절히 대처한다.,3,선택
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",2,책임성,82,나는 누구나 사회의 발전을 위한 각자의 소임이 있다고 인식한다.,3,선택
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",3,책임성,83,나는 사회정의 실현과 환경문제 등 사회적 책임의 중요성을 인식한다.,3,선택
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",4,참여성,84,"나는 기업이 사회적 책임 활동(CSR, ESG 등)을 지속적으로 이행해야 한다고 인식한다.",3,선택
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",5,참여성,85,나는 사회적으로 옳고 유익한 활동에 책임감을 갖고 참여한다.,3,선택
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",6,참여성,86,나는 회사나 국가 등의 공익적 가치를 위해 개인의 이익을 어느 정도 양보한다.,3,제외
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",7,참여성,87,"나는 내 일이 아니더라도 사회공동의 발전에 기여하는 일에 자발적으로 참여할 
의향이 있다.",2,제외
"주체적책임 및 
창업의식 역량","사회적
책임역량","책임성
참여성",8,책임성,88,나는 사회적 구성원으로서 기업의 사회적 책임활동에 관심을 가지고 적극 지지한다.,2,제외
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",1,공생,89,나는 기업과 함께 세계와 지구에 선한 영향력을 줄 수 있도록 기여하고 싶다.,3,선택
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",2,공존,90,나는 다양한 국가의 문화적 차이를 이해하고 수용하는 창업 자세가 있다.,3,선택
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",3,공생,91,나는 지구 환경문제를 해결하기 위해 동참하고 실행하고 있다.,1,선택
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",4,공존,92,나는 다른 국가의 사람들과 문화에 대해 우호적이다.,3,선택
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",5,공생,93,나는 지구촌에서 일어나고 있는 활동들에 대해 늘 관심이 있다.,2,선택
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",6,공존,94,나는 다른 문화의 사람들과 일할 수 있는 기회가 생기면 적극적으로 참여한다.,3,선택
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",7,공존,95,"나는 지구공동문제(환경, 평화, 기아 등)와 관련된 창업에 대해서 관심이 있다.",1,선택
"주체적책임 및 
창업의식 역량","지구적창업
의식역량","공생
공존",8,공생,96,나는 지구운명공동체에 선한 영향력을 주는 글로벌 창업의식이 있다.,2,제외
